sample_id,pos,layer,mse,emd,base_emd,cost_cos,cost_mse,local_pca,lle_recon,kde,base_cost_cos,base_cost_mse,base_local_pca,base_lle_recon,base_kde,diff_emd,perc_emd,frac_emd,diff_cost_cos,perc_cost_cos,frac_cost_cos,method,nn_cos,nn_mse,base_nn_cos,base_nn_mse
0,,10,0.0058219181373715,9.856136322021484,4.341062545776367,0.0709146037697792,0.0011308866087347,1.3852683388848062,1.3672550684703288,25.211489160567407,0.0446784310042858,0.0007040456403046,0.5808102157125249,0.4326856903876285,19.91197921771617,5.515073776245117,1.2704432885011074,2.270443288501108,0.0262361727654933,0.5872223391859188,1.5872223391859188,mean_diff,0.049012042582035,0.0007855080184526,0.0196645334362983,0.0003137687454
1,,10,0.0058219181373715,9.79072380065918,4.068754196166992,0.0842750668525695,0.0013191361213102,1.3860063002112089,1.3687287225674298,25.41024124178615,0.0605476200580596,0.0009317208896391,0.5619693895043224,0.4038517949596588,19.43777149224736,5.721969604492188,1.4063198042001708,2.4063198042001708,0.0237274467945098,0.3918807505853642,1.3918807505853643,mean_diff,0.0500225871801376,0.0007970619481056,0.0171414967626333,0.0002732054854277
2,,10,0.0058219190686941,9.79362964630127,4.318095207214356,0.0790004283189773,0.0012460895814001,1.3395928037034088,1.3245093150767535,24.867461417010045,0.0556803606450557,0.0008909946773201,0.6161868486485024,0.4539981058301536,20.07009627676054,5.475534439086914,1.2680439351913302,2.26804393519133,0.0233200676739215,0.4188203417463376,1.4188203417463376,mean_diff,0.0472188517451286,0.0007555253687314,0.0195727664977312,0.0003238517383579
3,,10,0.0058219190686941,10.116578102111816,4.002191543579102,0.0759509056806564,0.001203185878694,1.3831842453240233,1.366979722986162,25.34850099494775,0.0550306141376495,0.0008728703833185,0.5719636550019849,0.4160916588143045,19.54710833141727,6.114386558532715,1.5277596016968014,2.5277596016968014,0.0209202915430068,0.3801573337102584,1.3801573337102584,mean_diff,0.0502728782594203,0.0007974201580509,0.0171245150268077,0.0002776870387606
4,,10,0.0058219181373715,9.573960304260254,4.336330413818359,0.0829976499080658,0.0013288310728967,1.3720814134132755,1.3527473290413754,24.990629837863292,0.0529522560536861,0.000829653290566,0.5983887486170567,0.4560361410702383,20.01219904519412,5.237629890441895,1.2078484318795013,2.2078484318795013,0.0300453938543796,0.5674053589693676,1.5674053589693675,mean_diff,0.0480488650500774,0.0007729217177256,0.0195181854069232,0.0003197961195837
0,,11,0.0067193834111094,9.472482681274414,3.747180461883545,0.0706996843218803,0.0013067808467894,1.4366077271195643,1.4151271549749385,25.86706590156246,0.0539909452199935,0.0009498356375843,0.615624572706506,0.4464312351940584,20.23087576369589,5.725302219390869,1.5278960481430903,2.5278960481430905,0.0167087391018867,0.3094729872537826,1.3094729872537825,mean_diff,0.0461541451513767,0.0008508443715982,0.0176616013050079,0.0003392285725567
1,,11,0.0067193829454481,9.489871978759766,4.29304313659668,0.0691373124718666,0.0012878677807748,1.414949169070149,1.3986250407009362,25.764928292531184,0.0581267550587654,0.0010318990098312,0.6278823262118949,0.4693881836028444,20.24152524403681,5.196828842163086,1.2105233226896677,2.210523322689668,0.0110105574131011,0.1894232251907002,1.1894232251907002,mean_diff,0.0442259348928928,0.0008348590345121,0.0171494223177433,0.0003331373736727
2,,11,0.006719384342432,9.616783142089844,3.5314583778381348,0.0739604085683822,0.0013855391880497,1.4422435271782663,1.4248752661322528,25.85637928309441,0.0398650281131267,0.0007470077252946,0.5749653636679628,0.4231859429519271,19.32128730227941,6.085324764251709,1.7231761253199265,2.723176125319926,0.0340953804552555,0.8552704480353441,1.855270448035344,mean_diff,0.0456830263137817,0.0008432594477199,0.0142006305977702,0.0002662308979779
3,,11,0.006719384342432,9.493406295776367,3.90540623664856,0.0838392078876495,0.0015594937140122,1.418190899758869,1.4003830549277745,25.333273940060025,0.0483782403171062,0.0009166860836558,0.5921625956703194,0.4350392279705414,19.842412078356617,5.588000059127808,1.430837080836736,2.430837080836736,0.0354609675705432,0.732994158905042,1.7329941589050422,mean_diff,0.0434900298714637,0.0007998569053597,0.0160456784069538,0.00030353263719
4,,11,0.006719384342432,9.649242401123049,3.8572092056274414,0.0742763802409172,0.0013904320076107,1.421904998365099,1.4042954895683957,25.808804814583223,0.048114389181137,0.0009115136344917,0.5775303988472723,0.409121306018839,19.61305264939686,5.7920331954956055,1.5016124059450469,2.501612405945047,0.0261619910597801,0.5437456757746132,1.543745675774613,mean_diff,0.0453316196799278,0.0008571663638576,0.0145400213077664,0.0002832337049767
0,,12,0.0076315714977681,9.679661750793455,3.779655933380127,0.0713064894080162,0.0015781495021656,1.5434908899903952,1.5215992940105725,27.31251309939816,0.0409577712416648,0.0009106001234613,0.616068796101032,0.4453356545064858,19.987013402535904,5.90000581741333,1.5609901857222717,2.560990185722272,0.0303487181663513,0.7409758208590863,1.7409758208590864,mean_diff,0.0435597524046897,0.0009723855764605,0.014212398789823,0.0003313030174467
1,,12,0.0076315714977681,9.323599815368652,3.611980676651001,0.0634248480200767,0.0014089713804423,1.5265022001055375,1.502530852007763,27.599795448149106,0.035696405917406,0.0007941201329231,0.6170252825600274,0.4304988064180939,20.197182516671354,5.711619138717651,1.5812983650879933,2.581298365087993,0.0277284421026706,0.7767852642315982,1.7767852642315982,mean_diff,0.0431738086044788,0.0009632278815843,0.0135130379348993,0.0003153140132781
2,,12,0.0076315705664455,9.613794326782228,3.747511386871338,0.083051860332489,0.0018578375456854,1.5941061012700186,1.5672541661004902,27.84117834454268,0.0399651788175106,0.0008901196997612,0.6034428981937581,0.4344169037852073,20.134083694755173,5.866282939910889,1.5653809513327288,2.565380951332729,0.0430866815149784,1.0781055606362038,2.078105560636204,mean_diff,0.0466817915439605,0.0010251220082864,0.0145562402904033,0.0003265420964453
3,,12,0.0076315705664455,9.615044593811035,3.9930357933044434,0.0760963037610054,0.0016907680546864,1.54294199486104,1.5200040124847811,27.32785422031111,0.0424191989004612,0.0009617815376259,0.6425557196551668,0.4486740536026273,20.275123053449065,5.622008800506592,1.4079535199593314,2.407953519959331,0.0336771048605442,0.7939118543838897,1.7939118543838897,mean_diff,0.0426613911986351,0.0009523749467916,0.0144506823271512,0.0003322434495203
4,,12,0.0076315714977681,9.425743103027344,4.3165364265441895,0.068169929087162,0.0015268113929778,1.5250125831507149,1.5027228264386958,26.76033788484527,0.0468355193734169,0.0010618134401738,0.6801764806000316,0.5021574123593654,20.68742840272509,5.109206676483154,1.1836357142880811,2.1836357142880813,0.0213344097137451,0.4555177352395112,1.4555177352395112,mean_diff,0.0416254289448261,0.0009250004659406,0.0161109622567892,0.0003683722752612
